Street,From,To,Distance_km,Travel_time_min,Congestion_level
Rua das Laranjeiras,19,15,3.4,15.56,0.27
Rua da Lua,130,119,0.88,28.89,0.64
Rua dos Jacarandas,23,48,4.64,1.72,0.52
Rua das Violetas,74,156,2.16,1.68,0.55
Rua dos Girassois,88,72,1.93,13.5,0.91
Rua das Violetas,44,75,1.83,2.28,0.4
Rua dos Lirios,141,132,3.54,4.87,0.92
Rua da Colina,152,148,3.71,14.8,0.17
Rua dos Cravos,19,29,3.99,4.31,0.45
Rua da Cascata,134,1,3.8,17.46,0.35
Rua dos Passaros,111,140,2.29,19.98,0.53
Rua dos Lirios,3,50,3.27,20.38,0.27
Rua dos Ipes,71,150,3.34,14.57,0.63
Rua das Margaridas,116,67,0.72,19.02,0.85
Rua do Sol,52,31,2.71,27.12,0.65
Rua das Laranjeiras,124,155,3.74,26.37,0.3
Rua da Cascata,114,34,3.18,28.27,0.19
Rua da Colina,100,57,0.97,2.7,0.58
Rua da Colina,1,107,4.02,28.0,0.82
Rua da Lua,102,4,1.27,8.71,0.37
Rua da Montanha,141,143,3.95,3.02,0.44
Rua da Cascata,94,0,1.41,22.85,0.71
Rua das Flores,41,47,3.9,11.28,0.64
Rua das Orquideas,27,130,4.32,25.43,0.56
Rua da Cascata,76,125,2.57,3.05,0.72
Rua da Montanha,149,77,1.76,20.77,0.27
Rua das Nuvens,36,97,2.91,17.95,0.8
Rua dos Girassois,124,43,4.15,6.47,0.39
Rua dos Cedros,93,129,2.0,8.04,0.39
Rua das Nuvens,58,79,0.92,13.14,0.52
Rua da Cascata,129,141,3.91,1.14,0.74
Rua do Sol,123,122,3.58,1.5,0.38
Rua da Cascata,51,1,2.81,18.73,0.18
Rua dos Passaros,72,12,0.71,8.9,0.15
Rua dos Jacarandas,124,94,0.62,21.6,0.97
Rua dos Girassois,111,34,2.26,2.74,0.9
Rua do Sol,102,5,1.04,11.49,0.73
Rua dos Jacarandas,154,102,1.85,13.39,0.85
Rua das Orquideas,121,68,1.88,20.44,0.17
Rua dos Cravos,73,26,3.49,5.42,0.86
Rua da Montanha,65,107,3.7,7.84,0.17
Rua dos Girassois,13,129,1.62,24.13,0.77
Rua das Acacias,43,41,1.75,8.87,0.31
Rua da Aurora,42,99,2.65,26.93,0.56
Rua das Aguas,145,128,1.75,1.39,0.51
Rua dos Passaros,75,2,4.46,6.79,0.31
Rua das Flores,20,142,0.87,3.77,0.42
Rua das Rosas,4,147,4.62,17.6,0.34
Rua da Cascata,52,23,2.61,22.95,0.84
Rua da Colina,92,83,4.54,25.37,0.27
Rua dos Passaros,127,28,1.39,21.71,0.23
Rua do Sol,22,83,2.26,27.78,0.65
Rua do Sol,20,33,3.95,2.38,0.76
Rua das Oliveiras,20,126,3.33,13.91,0.32
Rua das Oliveiras,87,129,1.02,6.03,0.29
Rua dos Jacarandas,140,141,2.88,18.92,0.84
Rua da Montanha,119,103,2.89,9.26,0.83
Rua da Montanha,89,47,1.2,19.09,0.9
Rua do Campo,64,148,2.78,29.5,1.0
Rua dos Cedros,87,54,4.77,13.01,0.26
Rua das Laranjeiras,134,36,4.44,7.68,0.72
Rua do Sol,30,20,3.71,26.72,0.85
Rua das Flores,28,139,3.36,22.54,0.44
Rua dos Lirios,22,138,4.59,20.96,0.77
Rua dos Lirios,96,60,2.1,3.51,0.4
Rua das Palmeiras,152,5,1.26,25.93,0.54
Rua dos Ipes,15,137,3.08,17.58,0.76
Rua das Oliveiras,115,4,3.38,15.23,0.4
Rua dos Lirios,80,157,3.22,22.24,0.65
Rua das Violetas,62,5,3.46,24.2,0.13
Rua dos Lirios,17,93,2.1,4.88,0.45
Rua da Montanha,49,4,2.5,29.25,0.33
Rua das Aguas,56,122,4.42,6.1,0.39
Rua dos Cedros,144,45,4.25,17.8,0.98
Rua das Palmeiras,71,79,1.58,24.12,0.28
Rua dos Ipes,28,67,1.55,26.67,0.6
Rua das Margaridas,18,120,0.75,1.59,0.88
Rua dos Jacarandas,83,53,3.17,29.2,0.25
Rua dos Lirios,139,147,2.26,20.17,1.0
Rua dos Girassois,130,138,4.32,25.39,0.18
Rua das Flores,73,126,1.33,7.21,0.11
Rua dos Pinheiros,151,53,4.0,22.6,0.78
Rua do Campo,105,130,3.12,28.18,0.3
Rua das Flores,15,153,4.19,20.2,0.14
Rua das Oliveiras,38,153,1.5,6.96,0.48
Rua dos Passaros,67,37,1.5,24.57,0.7
Rua dos Cedros,15,10,1.5,2.32,1.0
Rua da Cascata,121,133,2.08,12.01,0.17
Rua da Cascata,143,116,2.75,28.2,0.49
Rua dos Pinheiros,42,37,2.01,11.03,0.38
Rua dos Girassois,138,68,0.86,15.15,0.75
Rua das Violetas,151,109,1.86,17.37,0.69
Rua dos Lirios,130,115,3.09,18.08,0.59
Rua das Orquideas,124,20,1.71,23.42,0.36
Rua das Aguas,82,121,4.95,22.58,0.52
Rua da Lua,21,61,1.32,19.86,0.89
Rua da Aurora,86,151,2.64,27.6,0.7
Rua das Rosas,60,1,1.83,5.37,0.66
Rua da Aurora,121,124,4.56,22.84,0.69
Rua das Palmeiras,61,58,4.38,19.54,0.92
Rua das Violetas,112,124,3.3,17.26,0.2
Rua do Sol,45,113,0.66,3.56,0.84
Rua dos Girassois,138,70,0.83,13.38,0.4
Rua do Sol,153,22,4.47,6.05,0.8
Rua dos Pinheiros,114,121,0.66,7.52,0.11
Rua das Acacias,57,118,4.02,5.49,0.14
Rua da Lua,33,49,2.32,22.85,0.17
Rua das Flores,70,153,1.49,11.87,0.11
Rua das Acacias,76,148,3.56,29.28,0.38
Rua das Flores,39,13,3.15,15.05,0.42
Rua dos Pinheiros,19,67,4.77,3.77,0.49
Rua da Aurora,19,28,1.49,8.63,0.79
Rua das Rosas,43,49,1.21,2.03,0.7
Rua das Aguas,49,143,1.53,9.92,0.87
Rua dos Passaros,40,0,1.64,27.38,0.63
Rua dos Lirios,29,100,1.6,6.98,0.8
Rua das Palmeiras,30,47,3.44,4.7,0.5
Rua das Palmeiras,55,45,3.76,16.46,0.85
Rua da Colina,18,101,4.81,29.47,0.16
Rua das Flores,152,0,1.79,23.85,0.19
Rua dos Pinheiros,6,38,2.23,6.63,0.55
Rua das Flores,122,81,3.07,13.89,0.68
Rua dos Cravos,117,100,2.19,1.33,0.67
Rua das Rosas,94,26,1.41,4.2,0.13
Rua dos Cedros,18,140,3.18,6.55,0.35
Rua das Margaridas,35,48,2.95,1.81,0.71
Rua da Cascata,2,155,3.13,23.7,0.11
Rua dos Lirios,52,138,4.89,28.14,0.31
Rua dos Lirios,133,102,1.55,18.7,0.3
Rua dos Pinheiros,21,74,3.36,17.7,0.32
Rua das Rosas,26,8,3.62,14.24,0.98
Rua das Nuvens,99,19,0.72,15.37,0.64
Rua do Sol,51,120,2.59,1.61,0.47
Rua das Orquideas,90,115,3.55,1.94,0.32
Rua das Aguas,21,29,3.73,15.91,1.0
Rua da Lua,144,135,1.81,25.38,0.98
Rua das Flores,6,157,2.96,18.63,0.88
Rua das Aguas,104,46,0.56,19.77,0.76
Rua das Oliveiras,90,10,0.78,11.12,0.77
Rua das Acacias,14,43,2.03,22.27,0.91
Rua do Sol,119,117,1.32,9.95,0.42
Rua dos Passaros,33,137,2.77,23.71,0.2
Rua dos Jacarandas,14,77,2.49,26.02,0.43
Rua das Acacias,60,137,3.5,13.34,0.56
Rua das Margaridas,93,135,0.56,14.24,0.85
Rua das Aguas,2,8,2.04,29.96,0.26
Rua das Margaridas,49,21,4.9,5.5,0.78
Rua das Acacias,83,36,4.14,27.07,0.82
Rua dos Cravos,137,107,3.32,20.34,0.58
Rua dos Cravos,119,48,1.11,18.3,0.47
Rua das Oliveiras,109,95,3.62,4.57,0.81
Rua da Aurora,82,151,1.62,15.82,0.37
Rua das Palmeiras,124,85,2.35,29.79,0.98
Rua dos Pinheiros,126,69,2.36,7.45,0.41
Rua da Aurora,70,78,2.66,25.61,0.56
Rua das Rosas,37,20,1.66,15.48,1.0
Rua da Cascata,1,54,4.75,16.2,0.15
Rua das Palmeiras,48,91,1.96,13.52,0.85
Rua das Nuvens,41,125,2.76,1.5,0.21
Rua da Colina,36,137,3.12,28.09,0.56
Rua das Acacias,142,53,3.6,10.46,0.11
Rua das Oliveiras,140,1,4.67,3.43,0.73
Rua dos Cravos,145,4,4.48,6.6,0.2
Rua dos Cedros,123,22,1.01,7.27,0.8
Rua dos Cravos,37,116,1.0,1.1,0.46
Rua das Nuvens,103,56,1.93,23.61,0.27
Rua dos Girassois,119,150,2.2,6.68,0.54
Rua das Flores,47,74,3.03,27.97,0.12
Rua dos Cravos,76,56,1.61,4.28,0.68
Rua dos Girassois,34,59,3.46,18.82,0.95
Rua da Cascata,113,140,2.67,5.66,0.67
Rua dos Lirios,104,16,4.04,13.45,0.25
Rua do Campo,148,155,1.37,7.81,0.22
Rua dos Pinheiros,92,74,1.55,10.81,0.19
Rua das Orquideas,71,142,4.41,5.8,0.56
Rua da Cascata,101,96,2.62,13.81,0.36
Rua das Rosas,5,106,3.19,17.24,0.76
Rua do Campo,77,143,4.89,11.57,0.24
Rua das Margaridas,58,57,3.45,18.42,0.1
Rua dos Lirios,3,35,4.67,11.7,0.28
Rua da Cascata,94,102,2.98,16.34,0.65
Rua dos Cedros,2,24,2.58,15.39,0.88
Rua dos Ipes,78,81,3.11,10.75,0.32
Rua da Montanha,132,92,2.1,2.25,0.89
Rua dos Passaros,124,74,0.94,26.69,0.59
Rua das Orquideas,0,156,3.46,26.1,0.72
Rua das Violetas,42,101,0.84,4.94,0.46
Rua do Campo,95,140,4.0,29.89,0.59
Rua dos Cedros,133,76,1.99,15.58,0.93
Rua das Rosas,50,44,4.08,4.34,0.93
Rua da Lua,44,63,1.71,18.15,0.76
Rua dos Cedros,91,24,4.06,12.32,0.26
Rua das Rosas,63,135,4.76,13.85,0.33
Rua da Lua,59,142,1.9,22.91,0.87
Rua das Acacias,49,60,1.67,27.55,0.43
Rua das Laranjeiras,46,146,1.62,17.54,0.93
Rua dos Cravos,124,127,4.41,11.77,0.22
Rua das Margaridas,126,82,1.49,6.47,0.12
Rua das Rosas,112,115,3.78,2.91,0.96
Rua dos Ipes,54,31,3.82,29.17,0.66
Rua dos Cravos,87,73,3.57,4.48,0.23
Rua das Acacias,128,152,2.82,9.11,0.8
Rua das Rosas,72,68,1.62,13.11,0.15
Rua dos Cravos,54,17,4.17,9.75,0.36
Rua dos Passaros,63,134,1.17,7.81,0.47
Rua das Violetas,72,119,3.16,24.32,0.27
Rua da Cascata,45,129,0.82,18.34,0.99
Rua da Montanha,82,70,0.95,6.24,0.47
Rua das Laranjeiras,155,29,4.52,25.02,0.87
Rua do Campo,132,91,3.35,15.57,0.71
Rua dos Jacarandas,87,100,1.57,23.99,0.34
Rua dos Ipes,79,82,1.39,4.67,0.24
Rua das Rosas,33,108,2.83,24.74,0.55
Rua das Aguas,29,46,2.34,28.9,0.85
Rua dos Pinheiros,62,25,2.63,1.72,0.48
Rua da Cascata,20,77,3.2,24.54,0.8
Rua das Laranjeiras,87,143,3.08,10.71,0.14
Rua dos Jacarandas,33,44,3.75,8.08,0.24
Rua da Colina,56,104,3.73,27.47,0.97
Rua das Orquideas,0,98,3.9,15.05,0.54
Rua da Cascata,119,154,4.79,18.24,1.0
Rua das Margaridas,87,78,3.36,24.84,0.63
Rua das Nuvens,22,128,4.1,21.18,0.62
Rua dos Passaros,5,42,2.06,27.22,0.75
Rua dos Ipes,66,109,4.21,9.6,0.3
Rua das Orquideas,21,110,2.35,9.49,0.5
Rua dos Pinheiros,101,135,2.74,1.02,0.14
Rua do Sol,144,148,3.28,13.24,0.74
Rua das Margaridas,54,87,1.12,15.32,0.77
Rua dos Ipes,144,135,3.92,10.39,0.73
Rua das Orquideas,70,153,2.67,12.22,0.15
Rua das Oliveiras,26,40,1.92,7.91,0.5
Rua das Rosas,96,108,2.52,9.67,0.14
Rua dos Cravos,26,145,3.66,27.68,0.27
Rua dos Girassois,31,100,3.51,19.78,0.58
Rua dos Jacarandas,145,80,4.42,20.7,0.51
Rua das Margaridas,41,46,1.31,9.59,0.3
Rua dos Girassois,52,48,2.3,28.54,0.46
Rua da Aurora,144,124,1.98,18.65,0.89
Rua da Lua,35,45,3.78,5.61,0.51
Rua das Violetas,83,84,1.96,20.21,0.81
Rua dos Passaros,14,132,4.76,19.74,0.46
Rua dos Pinheiros,124,119,0.71,29.18,0.44
Rua da Montanha,95,133,4.9,16.4,0.27
Rua dos Girassois,122,55,4.46,8.52,0.94
Rua dos Girassois,85,124,1.34,10.79,0.45
Rua dos Jacarandas,99,36,2.69,25.15,0.67
Rua dos Lirios,26,31,3.73,5.07,0.49
Rua das Margaridas,54,24,1.52,12.23,0.27
Rua dos Pinheiros,39,46,4.14,23.77,0.44
Rua das Rosas,146,102,1.58,24.32,0.2
Rua das Orquideas,117,130,1.25,19.96,0.12
Rua das Orquideas,138,26,1.9,8.06,0.96
Rua dos Ipes,110,30,3.65,13.51,0.64
Rua da Lua,44,127,3.72,10.69,0.27
Rua da Montanha,132,91,2.67,11.39,0.48
Rua das Flores,75,144,3.51,1.85,0.76
Rua das Margaridas,143,146,4.65,1.39,0.9
Rua dos Girassois,107,70,3.62,29.81,0.93
Rua dos Cedros,108,23,2.14,19.77,0.24
Rua das Margaridas,64,145,1.53,24.55,0.35
Rua das Violetas,140,134,3.06,1.13,0.42
Rua das Rosas,35,92,0.83,17.85,0.21
Rua das Margaridas,76,3,3.08,11.57,0.74
Rua da Montanha,66,110,1.3,2.35,0.88
Rua da Lua,23,16,3.65,12.02,0.84
Rua dos Pinheiros,4,43,1.39,27.53,0.55
Rua dos Passaros,84,66,3.26,16.63,0.27
Rua dos Girassois,129,51,4.59,2.23,0.84
Rua das Orquideas,53,144,2.79,22.72,1.0
Rua das Palmeiras,157,14,4.73,18.54,0.5
Rua do Sol,143,112,1.72,9.67,0.81
Rua dos Pinheiros,1,48,4.71,28.76,0.43
Rua dos Girassois,104,3,1.32,15.71,0.83
Rua da Aurora,127,82,0.77,26.15,0.63
Rua dos Pinheiros,140,117,3.83,16.78,0.16
Rua das Margaridas,125,50,1.53,1.57,0.97
Rua das Acacias,64,103,1.27,12.05,0.64
Rua do Campo,25,152,1.57,18.59,1.0
Rua do Sol,71,147,4.72,10.15,0.84
Rua das Acacias,22,42,2.64,24.32,0.76
Rua dos Jacarandas,97,107,1.03,26.97,0.46
Rua da Cascata,6,124,2.01,12.49,0.56
Rua das Aguas,120,64,3.27,5.5,0.36
Rua das Acacias,4,85,2.32,17.52,0.47
Rua da Colina,9,86,0.86,25.28,0.33
Rua das Orquideas,63,46,3.12,29.78,0.23
Rua das Nuvens,42,93,2.0,28.67,0.65
Rua das Nuvens,56,134,1.39,9.6,0.2
Rua dos Girassois,6,110,3.03,24.77,0.76
Rua das Acacias,104,59,1.34,16.56,0.76
Rua da Montanha,11,27,1.3,29.78,0.88
Rua das Oliveiras,54,107,2.41,5.78,0.22
Rua das Rosas,51,105,4.47,24.19,0.64
Rua da Montanha,99,152,3.41,5.24,0.65
Rua das Acacias,81,116,1.97,11.12,0.75
Rua da Colina,79,52,4.77,22.47,0.38
Rua das Orquideas,6,114,0.79,11.29,0.27
Rua da Cascata,154,9,0.88,2.57,0.18
Rua da Montanha,80,127,1.2,3.92,0.5
Rua do Campo,136,42,3.83,12.06,0.53
Rua das Aguas,51,56,2.9,3.99,0.28
Rua dos Cedros,86,90,1.59,23.27,0.6
Rua dos Girassois,103,56,3.58,28.68,0.54
Rua das Oliveiras,98,77,4.58,22.54,0.19
Rua dos Jacarandas,29,138,4.37,26.46,0.47
Rua das Orquideas,9,149,4.26,28.21,0.92
Rua dos Ipes,61,7,1.66,11.91,0.98
Rua das Oliveiras,152,114,1.85,15.28,0.85
Rua das Margaridas,142,128,3.06,3.56,0.94
Rua dos Cedros,62,25,3.91,9.66,0.59
Rua dos Jacarandas,85,80,4.6,26.2,0.69
Rua das Palmeiras,121,4,2.77,5.89,0.18
Rua das Orquideas,113,138,4.84,23.93,0.5
Rua do Sol,18,53,0.73,19.76,0.21
Rua do Campo,124,113,0.97,19.37,0.87
Rua das Acacias,102,83,0.51,23.55,0.78
Rua da Cascata,149,19,1.54,7.85,0.86
Rua das Laranjeiras,11,87,2.16,14.85,0.83
Rua da Lua,115,9,2.51,21.97,0.95
Rua das Flores,28,148,1.97,11.04,0.7
Rua dos Girassois,139,145,3.84,2.95,0.59
Rua da Aurora,73,79,4.13,27.71,0.21
Rua das Margaridas,136,29,0.73,9.93,0.17
Rua dos Cedros,74,144,3.81,15.87,0.21
Rua do Campo,134,153,1.73,9.82,0.34
Rua do Campo,18,51,2.89,6.24,0.46
Rua das Oliveiras,54,95,1.96,28.54,0.7
Rua das Orquideas,44,83,4.17,25.65,0.98
Rua das Margaridas,28,47,3.25,9.64,0.73
Rua dos Ipes,4,71,4.03,18.69,0.45
Rua do Campo,99,72,1.45,2.92,0.74
Rua das Palmeiras,96,53,1.11,27.17,0.53
Rua da Colina,72,15,1.98,25.36,0.41
Rua da Aurora,43,143,3.72,19.75,0.15
Rua das Violetas,27,15,3.13,13.58,0.57
Rua do Sol,147,115,3.76,10.25,0.46
Rua dos Pinheiros,115,67,2.89,23.31,0.82
Rua dos Girassois,53,154,4.77,12.7,0.71
Rua dos Lirios,154,77,2.92,3.47,0.39
Rua dos Passaros,128,138,3.09,13.01,0.58
Rua das Laranjeiras,12,83,3.62,21.05,0.39
Rua das Violetas,105,71,1.71,5.01,0.81
Rua da Lua,108,54,2.17,23.16,0.82
Rua do Sol,20,9,4.5,12.12,0.89
Rua dos Passaros,23,79,3.9,15.81,0.62
Rua das Flores,138,5,1.84,28.48,0.89
Rua das Palmeiras,10,21,2.48,2.9,0.65
Rua das Rosas,128,102,4.18,17.34,0.24
Rua da Colina,80,68,0.62,22.92,0.43
Rua dos Pinheiros,36,81,1.13,27.23,0.23
Rua do Sol,22,85,1.81,8.1,0.27
Rua da Montanha,143,152,4.89,26.75,0.37
Rua dos Jacarandas,71,143,3.63,10.5,0.43
Rua dos Pinheiros,85,48,4.08,28.02,0.2
Rua das Orquideas,28,35,0.74,29.18,0.21
Rua das Orquideas,67,28,1.4,11.34,0.11
Rua dos Cravos,37,95,4.16,14.79,0.49
Rua das Laranjeiras,59,139,0.69,1.94,0.46
Rua da Cascata,23,37,4.93,25.87,0.2
Rua das Nuvens,95,92,1.85,16.95,0.94
Rua das Orquideas,117,73,1.88,17.56,0.89
Rua das Acacias,96,45,3.72,1.37,0.65
Rua da Montanha,86,90,1.25,8.84,0.8
Rua das Orquideas,66,107,0.98,11.47,0.51
Rua do Campo,107,61,1.29,16.23,0.52
Rua das Oliveiras,91,38,0.61,16.71,0.54
Rua dos Ipes,53,79,0.68,26.75,0.94
Rua da Cascata,38,40,0.83,8.95,0.43
Rua da Lua,151,88,3.62,19.26,0.13
Rua das Laranjeiras,133,69,1.53,3.72,0.21
Rua das Nuvens,113,42,1.61,28.16,0.31
Rua dos Cedros,6,39,4.23,12.23,0.86
Rua das Orquideas,65,147,0.83,20.27,0.45
Rua das Laranjeiras,8,111,3.23,2.58,0.28
Rua das Palmeiras,23,139,3.31,17.54,0.68
Rua das Aguas,109,144,0.53,1.77,0.86
Rua das Violetas,8,81,3.16,25.21,0.18
Rua das Orquideas,71,133,4.0,17.42,0.74
Rua das Rosas,115,41,4.51,29.67,0.15
Rua dos Girassois,85,81,0.82,3.35,0.35
Rua da Lua,107,50,4.33,13.16,0.83
Rua dos Passaros,3,122,4.34,4.47,0.54
Rua das Palmeiras,29,146,4.77,7.92,0.15
Rua da Aurora,30,101,3.86,17.79,0.33
Rua das Oliveiras,109,157,3.54,13.46,0.34
Rua dos Lirios,58,38,1.02,26.53,0.38
Rua da Aurora,79,129,1.96,14.76,0.82
Rua das Violetas,139,82,0.83,22.06,0.56
Rua da Montanha,95,153,1.05,29.06,0.88
Rua da Aurora,104,41,3.26,29.66,0.45
Rua das Flores,85,123,0.87,3.7,0.81
Rua das Laranjeiras,12,79,3.27,29.48,0.51
Rua das Laranjeiras,57,146,2.17,29.4,0.31
Rua das Violetas,32,138,1.71,9.42,0.13
Rua dos Pinheiros,53,15,1.43,5.8,0.81
Rua das Orquideas,98,35,3.94,2.34,0.41
Rua da Cascata,63,6,3.18,24.93,0.88
Rua dos Lirios,124,80,3.85,22.23,0.22
Rua dos Jacarandas,52,41,4.16,14.29,0.2
Rua da Lua,74,112,4.01,18.24,0.23
Rua das Margaridas,155,80,4.02,3.51,0.51
Rua da Montanha,6,88,3.59,15.92,0.53
Rua dos Lirios,2,89,1.51,6.81,0.17
Rua dos Jacarandas,9,134,2.16,23.29,0.11
Rua das Aguas,45,73,1.02,27.16,0.38
Rua dos Cravos,1,101,2.32,12.13,0.78
Rua da Cascata,89,131,0.63,27.38,0.26
Rua da Colina,51,35,1.08,23.79,0.14
Rua das Oliveiras,108,136,2.29,28.3,0.92
Rua das Oliveiras,113,88,1.83,12.05,0.49
Rua das Rosas,24,20,2.82,17.37,0.13
Rua da Cascata,93,100,1.67,15.6,0.23
Rua das Margaridas,87,78,1.23,2.3,0.2
Rua dos Pinheiros,63,61,3.86,9.32,0.44
Rua dos Cravos,82,47,3.35,3.01,0.73
Rua dos Ipes,82,153,2.85,10.52,0.51
Rua das Palmeiras,82,37,3.26,2.66,0.42
Rua da Montanha,59,85,4.79,20.76,0.82
Rua dos Girassois,85,137,1.77,28.5,0.82
Rua das Laranjeiras,37,129,3.68,13.2,0.74
Rua do Sol,15,99,1.39,17.3,0.43
Rua das Acacias,156,117,4.08,13.94,0.18
Rua dos Passaros,54,41,3.16,27.29,0.85
Rua das Orquideas,139,10,3.0,19.14,0.51
Rua dos Girassois,24,10,3.82,18.79,0.67
Rua dos Passaros,27,54,2.15,20.37,0.87
Rua das Laranjeiras,139,38,2.83,7.68,0.39
Rua das Margaridas,38,91,4.56,9.05,0.88
Rua das Rosas,95,149,1.14,21.65,0.4
Rua dos Cravos,10,91,0.89,5.14,0.78
Rua do Campo,115,57,0.51,26.92,0.16
Rua dos Ipes,2,56,2.46,26.73,0.94
Rua das Oliveiras,128,116,2.62,18.0,0.36
Rua da Montanha,74,47,2.91,19.63,0.97
Rua das Aguas,143,100,4.17,27.56,0.48
Rua das Palmeiras,147,69,2.26,15.61,0.48
Rua das Nuvens,87,109,4.53,19.06,0.38
Rua dos Pinheiros,103,53,2.69,1.77,0.17
Rua dos Ipes,121,62,4.28,13.01,0.99
Rua da Cascata,29,7,1.95,25.62,0.6
Rua da Lua,31,153,1.01,14.27,0.55
Rua dos Jacarandas,138,30,4.25,28.96,0.24
Rua das Margaridas,137,105,4.89,25.33,0.56
Rua dos Lirios,151,117,4.18,28.8,0.87
Rua da Aurora,25,61,2.1,12.06,0.41
Rua da Cascata,139,71,3.87,20.06,0.8
Rua dos Lirios,33,144,3.27,21.74,0.18
Rua das Aguas,111,136,1.53,23.93,0.49
Rua dos Jacarandas,147,156,1.78,16.81,0.53
Rua dos Lirios,37,150,0.52,22.24,0.94
Rua do Sol,84,130,1.8,13.43,0.45
Rua da Montanha,100,77,4.18,23.29,0.99
Rua do Campo,142,10,1.56,28.86,0.98
Rua das Palmeiras,133,79,2.89,22.94,0.23
Rua da Aurora,135,8,3.86,13.09,0.22
Rua da Cascata,130,34,1.24,24.52,0.8
Rua dos Lirios,152,156,0.56,16.35,0.6
Rua dos Cedros,12,86,0.98,6.64,0.69
Rua dos Ipes,44,23,3.78,27.39,0.79
Rua dos Lirios,107,0,2.46,21.43,0.42
Rua dos Passaros,78,60,4.3,5.22,0.12
Rua da Montanha,10,40,2.51,1.8,0.42
Rua dos Lirios,86,127,3.24,28.56,0.83
Rua dos Ipes,72,99,2.9,19.07,0.11
Rua dos Pinheiros,112,82,0.79,4.98,0.99
Rua dos Jacarandas,58,138,2.95,24.56,0.43
Rua das Nuvens,33,151,1.97,11.15,0.46
Rua da Aurora,28,8,2.29,10.74,0.86
Rua das Orquideas,28,88,4.93,14.91,0.57
Rua das Orquideas,86,149,2.49,8.5,0.63
Rua das Acacias,76,43,3.57,15.66,0.1
Rua das Orquideas,62,110,4.37,8.92,1.0
Rua dos Cedros,105,17,2.06,15.86,0.13
Rua dos Lirios,85,134,2.6,5.68,0.3
Rua dos Passaros,114,148,1.49,5.67,0.6
Rua das Violetas,30,58,1.41,18.02,0.29
Rua das Flores,132,143,0.61,15.49,0.45
Rua da Lua,157,107,1.23,21.14,0.8
Rua dos Ipes,129,144,3.6,25.35,0.35
Rua das Orquideas,85,66,4.8,5.46,1.0
Rua das Oliveiras,77,80,3.58,10.2,0.43
Rua dos Cedros,141,104,2.12,3.48,0.91
Rua do Campo,142,35,2.58,7.24,0.84
Rua das Violetas,86,99,4.4,1.93,0.47
Rua do Campo,48,26,4.36,26.61,0.96
Rua dos Lirios,1,115,3.12,24.5,0.59
Rua das Violetas,143,118,1.8,27.59,0.2
Rua das Laranjeiras,68,26,3.34,20.76,0.67
Rua das Violetas,57,27,0.82,25.29,0.88
Rua das Oliveiras,115,138,2.59,19.71,0.14
Rua dos Cedros,85,24,3.13,25.34,0.12
Rua das Flores,129,6,3.47,7.2,0.84
Rua da Colina,90,24,4.4,4.14,0.94
Rua do Sol,9,76,4.07,23.26,0.86
Rua das Oliveiras,104,21,3.99,12.78,0.75
Rua dos Lirios,142,21,1.79,20.86,0.41
Rua da Lua,29,44,3.55,21.99,0.43
Rua das Acacias,9,13,4.09,4.07,0.36
Rua da Lua,102,146,1.9,4.25,0.54
Rua das Flores,73,47,4.23,27.12,0.55
Rua dos Girassois,65,25,4.81,25.78,0.23
Rua das Palmeiras,92,120,1.32,9.87,0.21
Rua do Sol,42,96,3.44,29.87,0.18
Rua da Colina,29,143,4.38,11.34,0.4
Rua das Palmeiras,46,73,1.15,13.95,0.25
Rua do Sol,148,57,3.64,20.67,0.37
Rua das Orquideas,97,127,3.93,11.65,0.68
Rua dos Ipes,108,62,1.63,13.39,0.2
Rua dos Lirios,129,125,2.95,3.5,0.33
Rua dos Cravos,83,40,3.98,20.28,0.81
Rua das Margaridas,84,101,2.49,12.7,0.24
Rua das Oliveiras,48,1,1.3,21.66,0.42
Rua das Orquideas,45,146,4.5,15.17,0.7
Rua das Margaridas,72,30,4.49,3.12,1.0
Rua da Montanha,87,107,2.35,25.91,0.41
Rua da Montanha,108,98,1.7,17.3,0.52
Rua das Palmeiras,119,75,4.24,3.99,0.17
Rua dos Girassois,118,23,4.79,17.48,0.94
Rua dos Lirios,39,8,3.08,11.52,0.81
Rua dos Girassois,143,22,2.89,6.31,0.83
Rua das Palmeiras,152,156,3.12,27.88,0.27
Rua do Campo,40,18,4.77,29.48,0.34
Rua das Rosas,109,131,2.98,1.54,0.57
Rua das Flores,154,35,0.74,22.98,0.84
Rua da Aurora,111,128,1.24,23.38,0.21
Rua das Margaridas,110,24,0.89,9.69,1.0
Rua do Sol,115,27,3.56,15.23,0.3
Rua do Campo,78,116,4.55,28.26,0.12
Rua da Aurora,100,97,4.09,18.41,0.24
Rua do Sol,84,4,3.1,15.25,0.66
Rua das Oliveiras,136,102,1.24,26.01,0.42
Rua das Palmeiras,15,52,3.52,4.8,0.87
Rua das Margaridas,101,114,2.5,13.17,0.66
Rua da Cascata,8,126,3.89,21.88,0.93
Rua dos Girassois,20,99,2.69,7.13,0.91
Rua do Sol,20,117,3.75,1.19,0.53
Rua das Laranjeiras,137,130,1.2,13.85,0.52
Rua dos Passaros,11,145,3.46,18.11,0.2
Rua dos Lirios,88,17,3.82,10.01,0.45
Rua das Oliveiras,15,67,3.53,22.21,0.51
Rua dos Girassois,33,157,1.7,9.64,0.45
Rua das Nuvens,62,51,4.44,12.42,0.54
Rua dos Cedros,131,150,0.75,9.96,0.97
